#OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1901	0	0	0	0	0	0	0	0	0	0	0	2	7	9	26	24	16	10	22	SS|0.8600|CP001848_S002289094;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula
OTU1902	0	0	0	0	0	0	0	0	0	0	0	2	9	7	10	3	4	0	9	SS|1.0000|KP161655_S004454340;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1904	0	0	0	0	0	0	0	0	0	0	0	0	6	13	5	22	14	12	21	SS|1.0000|AB072735_S000251887;k:Bacteria
OTU1905	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	44	SS|1.0000|DQ450814_S000692512;k:Bacteria
OTU1906	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	13	4	12	16	GS|98.4|AB021193_S000005760;k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_2,g:Pullulanibacillus;
OTU1908	0	0	0	0	0	0	0	0	0	0	0	7	13	14	8	16	15	13	21	SS|1.0000|DQ986200_S000736608;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU191	0	0	0	0	0	0	0	0	0	0	0	22	66	124	44	146	52	83	467	GS|99.2|AB166877_S000386311;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:Starkeya;
OTU1910	0	0	0	0	0	0	0	0	0	0	0	0	1	29	13	4	5	4	2	SS|0.9600|EF605262_S000995323;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
OTU1912	0	0	0	0	0	0	0	0	0	0	0	2	3	35	20	24	33	38	39	SS|0.8300|AB006851_S000381787;k:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae
OTU1913	0	0	0	0	0	0	0	0	0	0	0	0	2	12	9	13	6	11	6	SS|1.0000|AB267717_S000721197;k:Bacteria,p:"Bacteroidetes"
