OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU10193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU10194	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	4	2	2
OTU10195	0	0	0	0	0	0	0	0	0	0	0	2	1	5	2	5	6	0	2
OTU10196	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	6	16	18	16
OTU10198	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0
OTU10199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU102	0	0	0	0	0	0	0	0	0	0	0	126	335	405	328	1172	533	598	1212
OTU1020	0	0	0	0	0	0	0	0	0	0	0	1	66	34	4	20	9	11	10
OTU10200	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU10201	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU10202	0	0	0	0	0	0	0	0	0	0	0	8	6	8	2	19	5	11	23
OTU10203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU10204	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	5	2	6
OTU10206	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0
OTU10207	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
OTU10208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU1021	0	0	0	0	0	0	0	0	0	0	0	30	17	27	13	16	15	8	42
OTU10211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2
OTU10212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
OTU10213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU10214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU10216	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
OTU10217	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU10218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
OTU10219	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1
OTU1022	0	4	83	24	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU10222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
OTU10223	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5	1
OTU10224	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU10225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10227	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
